calorie,category,img,salt,title,type,url
688kcal,rice,/homecook/search/recipe/img/00005238.jpg,1.7g,コシャリ（エジプト風混ぜごはん）,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00005238/index.html
532kcal,rice,/homecook/search/recipe/img/00005068.jpg,1.7g,レンジで速攻！トマトカレー,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00005068/index.html
962kcal,rice,/homecook/search/recipe/img/00003414.jpg,4.9g,ラクラクベジタブルカレー,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00003414/index.html
844kcal,rice,/homecook/search/recipe/img/00004515.jpg,2.2g,トマトの夏野菜カレー,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00004515/index.html
923kcal,rice,/homecook/search/recipe/img/00003568.jpg,4.2g,イタリアンチキンカレー,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00003568/index.html
449kcal,rice,/homecook/search/recipe/img/00004138.jpg,2.0g,トマトボボティー（南アフリカ風ミートローフ）,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00004138/index.html
545kcal,rice,/homecook/search/recipe/img/00004141.jpg,1.4g,タコライス,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00004141/index.html
718kcal,rice,/homecook/search/recipe/img/00004774.jpg,3.8g,ふわふわカレー豆腐ドリア,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00004774/index.html
559kcal,rice,/homecook/search/recipe/img/00004170.jpg,4.5g,だし味しっかり手作りカレー鍋,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00004170/index.html
218kcal,rice,/homecook/search/recipe/img/00003485.jpg,1.3g,かつおの香り揚げ,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00003485/index.html
274kcal,rice,/homecook/search/recipe/img/00005237.jpg,0.8g,お手軽サモサ,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00005237/index.html
228kcal,rice,/homecook/search/recipe/img/00004442.jpg,0.8g,もみもみチキン,カレー,http://www.kikkoman.co.jp/homecook/search/recipe/00004442/index.html
292kcal,rice,/homecook/search/recipe/img/00003458.jpg,0.9g,たけのこと油揚げのおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003458/index.html
412kcal,rice,/homecook/search/recipe/img/00005327.jpg,2.0g,ふきみそおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005327/index.html
369kcal,rice,/homecook/search/recipe/img/00004004.jpg,1.2g,豚みそのラップおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004004/index.html
329kcal,rice,/homecook/search/recipe/img/00003769.jpg,1.0g,あじの干物と青じそのおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003769/index.html
132kcal,rice,/homecook/search/recipe/img/00006589.jpg,0.4g,卵そぼろおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006589/index.html
517kcal,rice,/homecook/search/recipe/img/00003162.jpg,2.5g,まん丸おにぎり３種（たらこ、鮭、牛しぐれ煮）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003162/index.html
351kcal,rice,/homecook/search/recipe/img/00006285.jpg,1.1g,炊きおこわのおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006285/index.html
131kcal,rice,/homecook/search/recipe/img/00006588.jpg,0.5g,鮭そぼろおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006588/index.html
337kcal,rice,/homecook/search/recipe/img/00005976.jpg,1.4g,おにぎりサンド,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005976/index.html
371kcal,rice,/homecook/search/recipe/img/00006056.jpg,1.1g,おかかとベーコンのおにぎりサンド,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006056/index.html
393kcal,rice,/homecook/search/recipe/img/00005100.jpg,1.8g,鶏肉とごぼうのおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005100/index.html
332kcal,rice,/homecook/search/recipe/img/00002802.jpg,1.3g,ごまおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00002802/index.html
323kcal,rice,/homecook/search/recipe/img/00000074.jpg,1.6g,豚肉巻きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00000074/index.html
